"connectionId","createdAt","gameId","schoolId","userId"
"FFWQmdmYiYcCJ1Q=","","","",""
"Gexb0dMciYcCIKg=","","","",""
"IVOurfPViYcCH4Q=","","","",""
"G5Vtne5biYcCGhg=","","","",""
"I2nMSfYtiYcCEcg=","","","",""
"IEd2Ed5cCYcCHxw=","","","",""
"E4sCOcj2CYcCHRA=","","","",""
"IVxdbcgtiYcCFdg=","2025-04-01T11:08:19.902Z","","64dc5e0a-af59-48a1-8d5c-14d29ac70067","af755684-abf0-434f-941b-20b64eb20192"
"Ffo4Tc9oiYcCHeg=","","","",""
"GrxbkdiuiYcCGgA=","","","",""
"AdOQTdLciYcCEhQ=","","","",""
"FgvmrfxCCYcCE4Q=","","","",""
"Hqw8vekhiYcCG7Q=","","","",""
"GHQyvfEOiYcCIZg=","","","",""
"Gshate-6iYcCEGw=","","","",""
"IytalenYiYcCJTA=","2025-04-10T05:51:02.187Z","","64dc5e0a-af59-48a1-8d5c-14d29ac70067","af755684-abf0-434f-941b-20b64eb20192"
"Eu0ficidiYcCGFw=","","","",""
"AWis0ckKCYcCJYg=","2024-10-28T08:28:16.955Z","26b9fb0f-4c9d-420a-bf36-ec05fc8602e3","","a13a061a-449e-4ccf-a4b2-f3f49eaae988"
"DO8TPeAGiYcCEeA=","","","",""
"F3rltcMriYcCHCg=","","","",""
"ISgGfdV6iYcCI0w=","","","",""
"EyhbBdwYCYcCEhQ=","2025-01-22T12:21:03.502Z","3f0f86aa-eabc-409b-88a5-7748e05d1ede","","8d77634b-ffc2-4227-b548-c6826d741574"
"HuMNYfahiYcCGyA=","2025-03-20T10:54:39.619Z","","312e7279-2538-4347-94cc-1adf79a62bab","68af87be-6090-4e28-8aa0-47b90f26b5e3"
"F3SzdegkCYcCEsg=","","","",""
"AdJU2fU1CYcCJYw=","","","",""
"IyoJ7dY0iYcCJOA=","","","",""
"ISMsQdeYCYcCGYQ=","","","",""
"IZQiocjgCYcCHMg=","","","",""
"GKy5CdWqiYcCIDA=","","","",""
"Grxs9cfjiYcCJ6Q=","","","",""
"FP089dnGCYcCGmQ=","","","",""
"C-3AhcmYiYcCFng=","","","",""
"Gok3QfLxCYcCHxg=","","","",""
"IFUX4ex8iYcCEFg=","","","",""
"F3nMgcTdiYcCJlQ=","","","",""
"H6pw9dOpiYcCGYg=","","","",""
"F3hx_fPsiYcCJuA=","","","",""
"DClUXfKHCYcCGyw=","","","",""
"FfrDed52iYcCImw=","","","",""
"JNT8fcj4CYcCF9w=","","","",""
"FghmDe6KCYcCJ2Q=","","","",""
"HtguZf4QCYcCESA=","2025-03-20T05:57:48.419Z","","55e8b449-1556-467c-828f-557b05f6029a","139f4db9-2903-472e-beeb-25567532f8bb"
"B8h0XfG5CYcCHgQ=","","","",""
"GpN6HcM2CYcCFMw=","","","",""
"F3haycfQiYcCJgA=","","","",""
"GoOf6cHzCYcCF8Q=","","","",""
"HaknUdtKiYcCIeQ=","","","",""
"FwSW-eaPiYcCFXQ=","","","",""
"FmXe-fzOCYcCHAQ=","2025-02-07T05:52:22.349Z","","1e83ce7a-347d-45af-bef5-5a1745747091","af755684-abf0-434f-941b-20b64eb20192"
"IEkkIdZ_iYcCIJQ=","","","",""
